PWGTP,SOCP,PUMA,ST,
131,151252,3401,17,
106,151252,3401,17,
108,-1,3401,17,
100,113013,3401,17,
107,-1,3401,17,
317,373011,3401,17,
408,516011,3401,17,
371,372012,3401,17,
75,132052,3401,17,
67,119030,3401,17,
78,-1,3401,17,
70,-1,3401,17,
85,-1,3401,17,
372,411012,3401,17,
351,1191XX,3401,17,
128,2310XX,3401,17,
119,113021,3401,17,
107,413091,3401,17,
87,253041,3401,17,
103,434181,3401,17,
101,111021,3401,17,
126,-1,3401,17,
81,113031,3401,17,
79,434131,3401,17,
120,519120,3401,17,
111,252020,3401,17,
379,537065,3401,17,
360,419020,3401,17,
379,472080,3401,17,
69,472140,3401,17,
118,353031,3401,17,
98,352021,3401,17,
63,-1,3401,17,
66,-1,3401,17,
83,311122,3401,17,
68,351011,3401,17,
71,-1,3401,17,
77,-1,3401,17,
94,533051,3401,17,
74,351012,3401,17,
85,-1,3401,17,
109,352010,3401,17,
86,-1,3401,17,
73,-1,3401,17,
118,311122,3401,17,
121,419020,3401,17,
381,151299,3401,17,
389,112021,3401,17,
380,131199,3401,17,
385,412031,3401,17,
56,439061,3401,17,
52,419020,3401,17,
52,353031,3401,17,
54,352021,3401,17,
113,-1,3401,17,
123,291210,3401,17,
152,291210,3401,17,
111,-1,3401,17,
111,-1,3401,17,
90,-1,3401,17,
88,-1,3401,17,
184,119111,3401,17,
148,-1,3401,17,
185,-1,3401,17,
99,311122,3401,17,
101,1191XX,3401,17,
65,292055,3401,17,
63,434051,3401,17,
93,-1,3401,17,
91,412010,3401,17,
59,373011,3401,17,
58,537062,3401,17,
83,-1,3401,17,
62,434051,3401,17,
179,-1,3401,17,
170,-1,3401,17,
118,113021,3401,17,
112,151252,3401,17,
101,-1,3401,17,
101,-1,3401,17,
46,412031,3401,17,
46,352010,3401,17,
72,132051,3401,17,
63,412031,3401,17,
68,-1,3401,17,
72,-1,3401,17,
72,-1,3401,17,
72,414010,3401,17,
88,259040,3401,17,
108,-1,3401,17,
125,-1,3401,17,
109,292072,3401,17,
107,-1,3401,17,
75,111021,3401,17,
113,1110XX,3401,17,
122,113031,3401,17,
62,533030,3401,17,
68,1110XX,3401,17,
59,252020,3401,17,
55,211093,3401,17,
100,131082,3401,17,
106,399011,3401,17,
152,413091,3401,17,
143,119013,3401,17,
133,-1,3401,17,
69,1191XX,3401,17,
68,131041,3401,17,
109,2911XX,3401,17,
107,131070,3401,17,
104,113031,3401,17,
128,132011,3401,17,
122,-1,3401,17,
133,-1,3401,17,
68,413031,3401,17,
81,412031,3401,17,
99,-1,3401,17,
140,537062,3401,17,
112,434071,3401,17,
56,172141,3401,17,
53,434131,3401,17,
82,131070,3401,17,
109,-1,3401,17,
118,414010,3401,17,
103,131161,3401,17,
93,3930XX,3401,17,
107,131111,3401,17,
121,-1,3401,17,
172,435071,3401,17,
56,-1,3401,17,
77,132011,3401,17,
215,251000,3401,17,
119,-1,3401,17,
128,-1,3401,17,
114,271025,3401,17,
88,472140,3401,17,
148,1191XX,3401,17,
118,113031,3401,17,
122,-1,3401,17,
122,-1,3401,17,
69,111021,3401,17,
76,1191XX,3401,17,
69,436014,3401,17,
74,4520XX,3401,17,
79,511011,3401,17,
59,512020,3401,17,
45,412010,3401,17,
99,132011,3401,17,
104,-1,3401,17,
102,413021,3401,17,
96,399031,3401,17,
101,259040,3401,17,
118,132011,3401,17,
106,132011,3401,17,
119,-1,3401,17,
136,-1,3401,17,
137,-1,3401,17,
99,436014,3401,17,
105,1110XX,3401,17,
110,1191XX,3401,17,
120,132011,3401,17,
67,493031,3401,17,
58,412031,3401,17,
74,31909X,3401,17,
59,-1,3401,17,
57,434051,3401,17,
67,-1,3401,17,
69,436014,3401,17,
87,-1,3401,17,
193,-1,3401,17,
107,172070,3401,17,
135,434041,3401,17,
70,-1,3401,17,
126,1721YY,3401,17,
120,131082,3401,17,
84,-1,3401,17,
122,-1,3401,17,
78,151211,3401,17,
50,1940YY,3401,17,
71,291210,3401,17,
79,533030,3401,17,
77,-1,3401,17,
69,-1,3401,17,
81,435031,3401,17,
89,27102X,3401,17,
100,-1,3401,17,
101,291141,3401,17,
106,2310XX,3401,17,
66,271024,3401,17,
53,131022,3401,17,
63,-1,3401,17,
75,-1,3401,17,
87,292042,3401,17,
71,113021,3401,17,
70,252020,3401,17,
67,-1,3401,17,
66,252030,3401,17,
59,412031,3401,17,
64,291141,3401,17,
56,291141,3401,17,
55,-1,3401,17,
60,-1,3401,17,
96,-1,3401,17,
125,291051,3401,17,
157,291210,3401,17,
128,-1,3401,17,
115,-1,3401,17,
92,-1,3401,17,
71,-1,3401,17,
84,-1,3401,17,
92,435071,3401,17,
118,1191XX,3401,17,
119,533030,3401,17,
119,393031,3401,17,
128,-1,3401,17,
102,-1,3401,17,
116,2310XX,3401,17,
92,412010,3401,17,
121,399032,3401,17,
119,-1,3401,17,
64,132011,3401,17,
59,333050,3401,17,
71,-1,3401,17,
250,113021,3401,17,
259,-1,3401,17,
123,1191XX,3401,17,
140,131082,3401,17,
140,-1,3401,17,
140,-1,3401,17,
157,-1,3401,17,
69,472152,3401,17,
105,-1,3401,17,
113,-1,3401,17,
242,372012,3401,17,
47,271021,3401,17,
65,-1,3401,17,
73,151251,3401,17,
54,-1,3401,17,
44,-1,3401,17,
155,-1,3401,17,
170,493023,3401,17,
219,-1,3401,17,
152,-1,3401,17,
131,-1,3401,17,
87,151241,3401,17,
70,113031,3401,17,
73,-1,3401,17,
72,-1,3401,17,
87,533051,3401,17,
