WGTP,PWGTP,SOCP,ST,
0,206,-1,23,
27,28,-1,23,
27,23,513011,23,
100,101,-1,23,
104,103,436014,23,
104,95,2310XX,23,
104,78,272022,23,
126,126,472152,23,
126,236,311131,23,
126,150,311131,23,
152,153,113111,23,
152,173,-1,23,
74,74,519111,23,
332,332,436014,23,
125,124,436014,23,
125,253,352021,23,
151,152,-1,23,
151,81,37201X,23,
27,26,431011,23,
27,38,412031,23,
27,25,353023,23,
27,21,-1,23,
69,70,439061,23,
86,86,-1,23,
78,79,-1,23,
78,109,-1,23,
186,185,-1,23,
186,188,291141,23,
27,27,514120,23,
27,32,291141,23,
56,55,-1,23,
56,75,211014,23,
151,150,533030,23,
151,142,-1,23,
151,175,-1,23,
151,178,-1,23,
151,178,-1,23,
151,127,-1,23,
151,175,-1,23,
151,120,-1,23,
318,318,411011,23,
318,214,399099,23,
21,22,252020,23,
21,23,352010,23,
29,28,533030,23,
29,80,-1,23,
29,31,352010,23,
29,13,-1,23,
29,12,-1,23,
137,136,4330XX,23,
137,118,399032,23,
137,143,373011,23,
18,18,4520XX,23,
18,20,4520XX,23,
113,112,433051,23,
113,171,518021,23,
113,127,412031,23,
113,97,537065,23,
113,137,-1,23,
92,92,436014,23,
688,688,272030,23,
34,34,311122,23,
34,33,-1,23,
14,15,399011,23,
95,95,519198,23,
95,102,-1,23,
95,148,412031,23,
38,39,514111,23,
38,40,436014,23,
85,86,-1,23,
290,289,-1,23,
290,251,-1,23,
193,192,499071,23,
193,145,412010,23,
27,26,-1,23,
27,23,-1,23,
27,49,359021,23,
33,32,119013,23,
33,63,119013,23,
174,174,472152,23,
174,155,211029,23,
81,81,232099,23,
40,41,537062,23,
40,51,436013,23,
40,43,-1,23,
40,37,-1,23,
40,45,-1,23,
122,122,-1,23,
26,26,311121,23,
26,24,-1,23,
110,110,252020,23,
110,116,119111,23,
110,109,-1,23,
110,268,-1,23,
138,138,-1,23,
190,190,113071,23,
190,201,399011,23,
190,273,359021,23,
190,183,-1,23,
190,251,-1,23,
190,158,-1,23,
172,172,311122,23,
62,63,412031,23,
62,57,2530XX,23,
159,159,431011,23,
159,212,119081,23,
159,147,411011,23,
159,203,-1,23,
159,170,513020,23,
159,192,434051,23,
159,162,412031,23,
159,245,4520XX,23,
159,162,4520XX,23,
159,191,514041,23,
523,523,37201X,23,
523,522,37201X,23,
35,36,434081,23,
79,79,291299,23,
79,89,-1,23,
57,57,113121,23,
57,60,172121,23,
39,39,1191XX,23,
39,42,-1,23,
65,65,-1,23,
35,35,472031,23,
35,33,132011,23,
69,70,311122,23,
69,94,472011,23,
69,77,-1,23,
69,51,-1,23,
69,81,-1,23,
177,177,151244,23,
177,192,395012,23,
34,35,-1,23,
44,44,211029,23,
44,35,391000,23,
44,26,-1,23,
44,41,-1,23,
16,16,252030,23,
53,53,-1,23,
36,36,411012,23,
48,47,413091,23,
48,65,435071,23,
285,285,472031,23,
285,225,474031,23,
52,52,1940YY,23,
52,52,-1,23,
52,212,-1,23,
52,74,-1,23,
52,24,-1,23,
62,62,119021,23,
62,60,433021,23,
98,99,211029,23,
98,112,-1,23,
79,79,-1,23,
79,85,-1,23,
79,128,-1,23,
27,27,259040,23,
17,17,5191XX,23,
17,26,5191XX,23,
156,156,533030,23,
156,180,252020,23,
146,146,351012,23,
146,258,352010,23,
43,43,411011,23,
43,40,5120XX,23,
30,30,-1,23,
30,29,-1,23,
99,98,119051,23,
99,204,537061,23,
74,74,-1,23,
172,172,514041,23,
172,67,-1,23,
90,90,119151,23,
90,79,493023,23,
17,17,-1,23,
110,110,17302X,23,
110,128,395012,23,
472,471,435021,23,
134,134,291071,23,
134,114,113071,23,
134,110,-1,23,
134,93,-1,23,
79,79,-1,23,
30,30,411012,23,
30,36,113071,23,
97,97,533030,23,
97,55,411011,23,
97,128,-1,23,
97,209,-1,23,
97,67,-1,23,
97,98,211011,23,
97,131,-1,23,
97,205,-1,23,
25,24,453031,23,
25,26,433021,23,
16,16,373011,23,
16,21,411011,23,
157,157,472061,23,
157,169,493023,23,
131,132,533030,23,
131,138,-1,23,
131,62,-1,23,
40,41,112022,23,
40,37,352021,23,
50,51,-1,23,
21,22,-1,23,
21,24,412010,23,
21,30,-1,23,
189,189,-1,23,
189,189,-1,23,
116,115,-1,23,
34,35,172061,23,
34,53,339021,23,
149,149,151230,23,
149,265,311121,23,
149,281,-1,23,
149,150,-1,23,
149,144,-1,23,
149,152,-1,23,
149,142,-1,23,
149,239,-1,23,
19,20,311122,23,
19,18,-1,23,
28,27,331011,23,
28,42,211029,23,
28,37,-1,23,
24,24,291020,23,
24,32,-1,23,
222,222,112022,23,
222,160,373013,23,
149,148,292034,23,
132,132,536051,23,
132,122,-1,23,
162,162,131111,23,
162,116,472140,23,
162,133,211022,23,
162,137,-1,23,
194,194,132020,23,
194,159,151211,23,
517,517,119013,23,
517,413,119013,23,
517,213,119013,23,
11,10,-1,23,
11,5,-1,23,
46,46,-1,23,
105,104,-1,23,
105,77,492011,23,
217,218,119013,23,
202,203,5191XX,23,
202,189,131151,23,
33,33,252030,23,
33,29,291011,23,
51,51,493031,23,
51,69,292061,23,
51,75,-1,23,
59,59,352010,23,
59,91,412010,23,
59,83,-1,23,
160,161,411011,23,
160,200,131070,23,
57,57,31113X,23,
57,76,351011,23,
57,67,-1,23,
57,65,-1,23,
57,56,-1,23,
57,88,-1,23,
57,70,-1,23,
