O*NET-SOC Code,Reading Comprehension,Active Listening,Writing,Speaking,Mathematics,Science,Critical Thinking,Active Learning,Learning Strategies,Monitoring,Social Perceptiveness,Coordination,Persuasion,Negotiation,Instructing,Service Orientation,Complex Problem Solving,Operations Analysis,Technology Design,Equipment Selection,Installation,Programming,Operations Monitoring,Operation and Control,Equipment Maintenance,Troubleshooting,Repairing,Quality Control Analysis,Judgment and Decision Making,Systems Analysis,Systems Evaluation,Time Management,Management of Financial Resources,Management of Material Resources,Management of Personnel Resources,Change in Employment
17-2111,4.279999999999999,4.095000000000001,4.0600000000000005,4.0600000000000005,3.215,3.88,4.155,3.88,3.41,3.63,3.0949999999999998,3.125,3.12,2.94,3.2800000000000002,2.935,3.9050000000000002,3.81,2.4699999999999998,1.095,0.5,1.56,2.9699999999999998,1.91,0.0,2.685,0.0,3.375,3.94,3.69,3.75,3.41,1.88,2.0949999999999998,2.815,1330.0
17-2121,4.75,4.0,4.0,4.0,4.81,4.37,4.38,4.44,3.0,4.0,3.12,3.56,3.31,3.12,3.31,2.94,4.19,4.38,3.06,1.12,0.44,1.81,3.38,1.69,1.06,3.31,1.19,3.81,4.31,3.75,3.69,3.5,2.56,2.44,3.25,3790.0
17-2131,4.75,4.12,4.38,4.12,4.0,4.75,4.25,4.5,3.62,3.88,3.12,3.25,3.12,3.12,3.88,3.0,4.0,4.0,2.88,1.88,0.0,1.75,3.12,2.0,0.88,2.0,1.0,3.62,3.88,3.75,3.5,3.12,2.62,2.75,3.12,1830.0
17-2151,4.75,4.0,4.25,4.12,4.62,4.0,4.5,4.12,3.38,4.5,3.25,3.75,3.38,3.25,3.5,2.62,4.38,4.12,2.88,2.5,0.0,3.0,3.38,2.0,0.0,1.88,0.0,3.5,4.62,4.0,4.25,3.88,3.75,3.25,3.62,-1920.0
17-2161,4.75,4.38,4.62,4.0,4.25,4.38,4.75,4.12,3.25,4.0,3.38,3.62,3.0,3.0,3.12,2.88,4.38,4.62,2.75,1.0,0.0,1.12,4.0,2.12,1.0,2.88,1.0,3.5,3.88,3.88,3.88,3.5,1.88,2.25,3.0,-670.0
17-2171,4.75,4.0,4.25,4.0,4.0,4.0,4.38,3.88,3.0,3.88,3.62,3.75,3.12,3.38,3.0,3.0,4.12,1.75,2.25,1.0,0.88,1.12,3.12,2.0,0.25,2.0,0.0,2.62,3.88,3.88,3.88,3.75,2.5,2.88,3.5,-1120.0
17-3011,3.81,3.38,3.31,3.31,3.81,2.0,3.69,3.13,2.94,3.31,2.88,3.12,2.56,2.44,2.88,2.5,3.25,2.94,1.0,0.56,0.0,1.44,2.06,0.56,0.0,0.62,0.0,2.81,3.31,3.12,2.94,3.0,1.37,1.31,2.75,7280.0
17-3012,3.75,3.75,3.37,3.19,3.0,1.56,3.5,3.12,2.63,2.88,2.75,2.94,2.75,2.13,2.81,2.38,3.12,3.0,1.06,0.63,0.0,1.0,1.31,0.75,0.0,0.56,0.0,1.81,2.94,3.0,2.88,2.94,0.43,0.62,2.31,-5250.0
17-3013,3.88,3.5,3.12,3.75,3.88,1.75,3.25,3.62,2.88,3.12,3.0,3.0,2.25,2.25,3.12,2.38,3.12,3.12,2.75,0.38,0.0,2.25,2.25,0.5,0.0,1.88,0.0,3.12,3.0,2.88,3.0,3.0,1.12,1.25,2.38,-8860.0
17-3021,3.75,3.88,3.12,3.12,3.0,3.75,4.0,3.0,2.88,3.12,3.0,2.88,2.88,2.62,3.0,2.75,3.38,2.75,1.38,2.38,1.88,1.62,3.5,2.88,3.38,3.12,3.0,3.62,3.25,3.12,3.12,3.25,1.62,1.62,2.75,310.0
